#,nacionalidad,poblacion
204,URUGUAYA,3523000
205,URUGUAYO,3523000
206,UZBECO,36404000
207,VANUATUENSE,337
208,VATICANA,825
209,VENEZOLANA,29277000
210,VENEZOLANO,29277000
211,VENEZUELA,29277000
212,VIETNAM,102866000
213,VIETNAMITA,102866000
214,YEMENÍ,33077000
215,YUGOSLAVA,23271000
